  143 #PP_lex_conj                 PP_lexical_conjunction
  144 #PP_scolon_conj              PP_semicolon_conjunction
  145 #PRO                         big_pro
  146 #p_acc                       preposition_assigns_accusative_case
  147 #p1_acc                      two-word_preposition_assigns_accusative_case
  148 #P_WH+                       wh+_Preposition
  149 #P_WH-                       wh-_Preposition
  150 #P_equiv+			   Equivalence_comparative_prep
  151 #P_equiv-			   Equivalence_comparative_prep
  152 #P_compar+		   Comparative_preposition
  153 #P_compar-		   Noncomparative_preposition
  154 #P_comma_conj                Preposition_comma_conjunction
  155 #P_conj_but                  #P_conj_but
  156 #P_lex_conj                  Preposition_lexical_conjunction
  157 #Paren                       Parentheses
  158 #Period                      Period
  159 #PPART-GER_S_COMP            #PPART-GER_S_COMP
  160 #PPART_S_COMP                #PPART_S_COMP
  161 #PRED_S_COMP                 #PRED_S_COMP
  162 #Qmark                       Question_mark
  163 #REFL_OBJ                    verb_takes_reflexive_object
  164 #RCOMP_COVERT                #RCOMP_COVERT
  165 #RCOMP_FOR                   #RCOMP_FOR
  166 #RCOMP_THAT                  #RCOMP_THAT
  167 #S_3rdsing+                  auxiliary_verb_attaches_to_3rd_person_singular
  168 #S_base                      auxiliary_verb_attaches_to_base_S
  169 #S_cond-                     auxiliary_verb_attaches_to_conditional-_S
  170 #S_conj_but                  #S_conj_but
  171 #S_ger                       auxiliary_verb_attaches_to_gerund_S
  172 #S_inf                       auxiliary_verb_attaches_to_infinitive_S
  173 #S_lex_conj                  sentential_lexical_conjunction
  174 #S_mainv+                    auxiliary_verb_attaches_to_mainverb+_S
  175 #S_nomprep_aux               auxiliary_verb_attaches_to_smallclause_S
  176 #S_pass+                     auxiliary_verb_attaches_to_passive+_S
  177 #S_pass-                     auxiliary_verb_attaches_to_passive-_S
  178 #S_perfect-                  auxiliary_verb_attaches_to_perfect-_S
  179 #S_pers3                     auxiliary_verb_attaches_to_3rdperson_S
  180 #S_ppart                     auxiliary_verb_attaches_to_past_participle_S
  181 #S_prog-                     auxiliary_verb_attaches_to_progessive-_S
  182 #S_assign-comp-inf_nil       #S_assign-comp-inf_nil
  183 #S_comp_for-nil              #S_comp_for-nil
  184 #S_extr-                     #S_extr-
  185 #S_ger-inf		   #S_ger-inf
  186 #S_sing                      auxiliary_verb_attaches_to_singular_S
  187 #S_no_colon                  S_contains_no_colon
  188 #S_no_scolon                 S_contains_no_semi-colon
  189 #S1_NOMPREP                  verb_takes_small_clause_sentential_complement
  190 #S1_PREP                     verb_takes_prepositional_small_clause_sentential_complem
  191 #S1_WH+                      verb_takes_wh+_sentential_complement
  192 #S1_WH-                      verb_takes_wh-_sentential_complement
  193 #S1_base_nil                 verb_takes_base_sentential_complement_with_no_complement
  194 #S1_ind-inf_nil              verb_takes_indicative_or_infinitive_sentential_complemen
  195 #S1_ind-inf_whether-if       verb_takes_indicative_or_infinitive_sentential_complemen
  196 #S1_ind-sbjnct_that-nil      verb_takes_indicative_or_subjunctive_sentential_compleme
  197 #S1_ind_that-nil             verb_takes_indicative_sentential_complement_with_that_or
  198 #S1_inf                      verb_takes_infinitive_sentential_complement
  199 #S1_inf_nil                  verb_takes_infinitive_sentential_complement_with_no_comp
  200 #S1_ind                      verb_takes_indicative_complement
  201 #S1_inf_for_nil              verb_takes_infinitival_complement-for/nil_complementizer
  202 #S1_inf_whether_nil          verb_takes_infinitival_complement-whether/nil_complement
  203 #S1_ind-sbjnct               verb_takes_indicative/subjunctive_complement
  204 #S1_ECM_acc                  ECM_verb
  205 #S1_no_colon                 No_Embedded_Colon
  206 #S1_ind-imp-inf              #S1_ind-imp-inf
  207 #S1_ind-imp                  #S1_ind-imp
  208 #S1_sbjnct                   #S1_sbjnct
  209 #S1_wonder1                  #S1_wonder1
  210 #S1_wonder2                  #S1_wonder2
  211 #S1_ind_that		   Indicative_comp_w_that         
  212 #S1_extr-                    #S1_extr-
  213 #S2_extr-                    #S2_extr-
  214 #S2_WH+                      #S2_WH+
  215 #S2_WH-                      #S2_WH-
  216 #S2_ind                      verb_takes_indicative_complement
  217 #S2_ind_that-nil             verb_takes_indicative_complement-that/nil_complementizer
  218 #S2_ind-inf_whether-if       indicative_or_infinitive_secondary_sentential_complement
  219 #S2_inf_for-nil              infinitive_secondary_sentential_complement_with_for_or_n
  220 #S2_inf_nil                  infinitive_secondary_sentential_complement_with_no_compl
  221 #S2_inf_whether-nil          verb_takes_infinitival_complement-whether/nil_complement
  222 #Sc_ger_ppart                subordinating_conjunction_attaches_to_gerund_or_ppart_S
  223 #Sc_ind                      subordinating_conjunction_attaches_to_indicative_S
  224 #Sc_ind_inf                  subordinating_conjunction_attaches_to_indicative_or_infi
  225 #Sc_ind_subjn                subordinating_conjunction_attaches_to_indicative_or_subj
  226 #Sc_inf                      subordinating_conjunction_attaches_to_infinitive_S
  227 #Sc_ppart                    subordinating_conjunction_attaches_to_past_participle_S
